female,race_white,race_black,race_hisp,race_asian,educ,age,income,region,dem,rep,ideology,interest_pol,conf_wh,conf_cong,conf_sc,conf_mil,conf_crim,conf_med,conf_wh_w2,conf_cong_w2,conf_sc_w2,conf_mil_w2,conf_crim_w2,conf_med_w2,news_nat,fake_news,fox_news,breit_news,tot_news,fake_exp,conf_gov,conf_gov_w2,weight
1,1,0,0,0,6,55,7,2,1,0,3,3,1,2,1,2,2,2,1,2,2,2,1,2,3,0,1,0,5.783825182,Exposed,1.6,1.6,0.4
1,0,1,0,0,6,31,5,3,1,0,2,4,2,2,3,3,2,2,1,3,3,3,2,3,4,0,0,0,4.736198448,Not exposed,2.4,2.4,0.476889728
1,1,0,0,0,6,35,5,3,0,1,4,2,4,3,3,5,4,2,4,2,3,4,3,2,2,0,0,0,4.158883083,Exposed,3.8,3.2,0.4
1,1,0,0,0,2,48,6,3,1,0,4,4,3,2,2,5,2,2,3,2,3,5,3,2,3,0,0,0,1.098612289,Not exposed,2.8,3.2,1.278788584
1,1,0,0,0,5,59,5,2,1,0,3,4,2,2,2,4,3,2,1,2,2,4,3,1,3,0,0,0,2.890371758,Not exposed,2.6,2.4,0.52441144
1,1,0,0,0,6,55,13,3,1,0,2,5,2,2,2,2,2,2,4,4,4,3,2,2,4,1,1,1,7.528331767,Exposed,2,3.4,0.4
0,1,0,0,0,5,63,8,1,1,0,1,4,1,2,2,2,2,2,1,3,2,3,3,2,4,0,1,0,6.272877007,Exposed,1.8,2.4,0.4
1,1,0,0,0,5,61,4,2,0,1,5,4,5,3,4,5,3,4,5,3,4,5,3,4,4,0,1,0,4.007333185,Exposed,4,4,0.52441144
1,1,0,0,0,5,35,8,4,1,0,1,5,1,1,5,2,2,1,1,3,2,2,2,1,4,1,0,0,5.030437921,Not exposed,2.2,2,0.951115622
1,1,0,0,0,2,57,1,3,0,1,5,5,4,3,3,5,1,3,3,2,2,5,1,4,3,0,0,0,5.247024072,Exposed,3.2,2.6,1.278788584
1,0,0,1,0,5,48,9,3,1,0,2,4,2,2,2,3,3,2,2,3,3,3,4,2,4,1,1,0,7.31986493,Not exposed,2.4,3,1.990686624
0,1,0,0,0,5,44,12,1,0,0,4,2,2,2,2,2,3,3,2,1,2,3,3,3,3,0,0,0,6.206575927,Not exposed,2.2,2.2,0.4
1,1,0,0,0,6,25,5,4,1,0,1,3,2,3,2,2,2,2,2,3,2,3,2,3,3,0,0,0,5.834810737,Not exposed,2.2,2.4,0.684826779
1,1,0,0,0,3,25,2,3,0,0,3,4,1,1,1,2,2,2,1,2,2,2,2,3,3,0,0,0,3.988984047,Not exposed,1.4,1.8,0.660000057
1,0,0,0,1,3,34,5,3,0,1,3,4,2,2,2,3,3,1,3,2,3,4,3,2,4,0,0,0,5.834810737,Not exposed,2.4,3,1.365614932
0,1,0,0,0,5,62,9,1,0,0,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,1,7.891704659,Exposed,3,3,0.4
1,1,0,0,0,3,43,4,2,1,0,3,3,1,2,2,3,1,1,1,1,2,4,2,2,3,0,0,0,6.075346031,Not exposed,1.8,2,1.128033707
